EQUIPMENT_STATUS,DEVICE_CODE,FACILITY_ID,MODIFIED_DATE_TIME,FULL_ADDRESS,COUNTRY,PINCODE,EQUIP_REF_NAME,FLOOR,BSSID
PLANNED,SWC,INAPDCPLXXXXNB0001,12/10/2016::17||52,"412,413,415,Dichpally Village Mandal Road Opp Police Battallion Adjacent to Hanuman temple Nizamabad 503185",INDIA,503175,SCWiF:SCWiF::3664073,,ve:er:hh:hh:hh
PLANNED,SWC,INAPDCPLXXXXNB0001,12/10/2016::17||52,"412,413,415,Dichpally Village Mandal Road Opp Police Battallion Adjacent to Hanuman temple Nizamabad 503185",INDIA,503175,SCWiF:SCWiF::3664074,,ve:er:hh:hh:hh
PLANNED,SWC,INAPDCPLXXXXNB0001,12/10/2016::17||52,"412,413,415,Dichpally Village Mandal Road Opp Police Battallion Adjacent to Hanuman temple Nizamabad 503185",INDIA,503175,SCWiF:SCWiF::3664075,,ve:er:hh:hh:hh
,,,,,,,,,
PLANNED,SWC,INAPGARZBHRPNB0001,22/09/2016::18||34,"Survey No. 62/1 

A, Qutubullapur Mandal, Bahadurpally, Hyderabad, Telangana 500043",INDIA,500043,SCWiF:SCWiF::3672150,,ve:er:hh:hh:hh
PLANNED,SWC,INAPGARZBHRPNB0001,22/09/2016::18||34,"Survey No. 62/1 A, Qutubullapur Mandal, Bahadurpally, Hyderabad, Telangana 500043",INDIA,500043,SCWiF:SCWiF::3672151,,ve:er:hh:hh:hh
PLANNED,SWC,INAPGARZBHRPNB0001,22/09/2016::18||34,"Survey No. 62/1 A, Qutubullapur Mandal, Bahadurpally, Hyderabad, Telangana 500043",INDIA,500043,SCWiF:SCWiF::3672152,,ve:er:hh:hh:hh
PLANNED,SWC,INAPGARZBHRPNB0001,22/09/2016::18||34,"Survey No. 62/1 A, Qutubullapur Mandal, Bahadurpally, Hydera

bad, Telangana 500043",INDIA,500043,SCWiF:SCWiF::3672153,,ve:er:hh:hh:hh

PLANNED,SWC,INAPGARZBHRPNB0001,22/09/2016::18||34,"Survey No. 62/1 A, Qutubullapur Mandal, Bahadurpally, Hyderabad, Telangana 500043",INDIA,500043,SCWiF:SCWiF::3672154,,ve:er:hh:hh:hh
PLANNED,SWC,INAPGARZBHRPNB0001,22/09/2016::18||34,"Survey No. 62/1 A, Qutubullapur Mandal, Bahadurpally, Hyderabad, Telangana 500043",INDIA,500043,SCWiF:SCWiF::3672155,,
