EQUIPMENT_STATUS,DEVICE_CODE,FACILITY_ID,MODIFIED_DATE_TIME,FULL_ADDRESS,COUNTRY,PINCODE,EQUIP_REF_NAME,FLOOR,BSSID,AP_GROUP_NAME,EQUIPMENT_ID,RJ_EQUIPME_RJID,SITE_NAME,SITE_ID,SAP_ID,SITE_LOCATION,GIS_LAT,GIS_LONG,R4G_STATE,CIRCLE,CITY_CODE,CITY_NAME,CITY_RANK,BUSINESS_RANK,AREA,EQUIPMENT_TYPE,EQUIPMENT_MODEL,EQUIPMENT_DEVICE_CODE,ACCESS_POINT_MAKE,ACCESS_POINT_MODEL,EQUIPEMENT_HW_TYPE
INSTALLED,15N,INGJJMGRJMTSTW0003,04/08/2016::17||27,TMC Bunglow,INDIA,361142,Wi-Fi:AP::1677800,,,,INGJJMGRJMTSTW0003WIF15N001,EQP1677800,STR4979,INGJJMGRJMTSTW0003,I-GJ-JMGR-ENB-4503,TMC Bunglow,22.36444694,69.8349,Gujarat,GUJARAT,,Jamnagar,,,Jamnagar Township-refinary,WIFI-ACCESS POINT,CS-1552-E,15N,CISCO,CS-1552-E,
INSTALLED,15N,INGJJMGRJMTSTW0005,04/08/2016::17||27,K.D.Ambani Vidyamandir,INDIA,361142,Wi-Fi:AP::1677802,,,,INGJJMGRJMTSTW0005WIF15N001,EQP1677802,STR5073,INGJJMGRJMTSTW0005,I-GJ-JMGR-ENB-4505,K.D.Ambani Vidyamandir,22.3736,69.84207,Gujarat,GUJARAT,,Jamnagar,,,Jamnagar Township-refinary,WIFI-ACCESS POINT,CS-1552-E,15N,CISCO,CS-1552-E,
INSTALLED,15N,INGJJMGRJMTSTW0004,04/08/2016::17||27,MINI MARKET,INDIA,361142,Wi-Fi:AP::1677798,,,,INGJJMGRJMTSTW0004WIF15N001,EQP1677798,STR5057,INGJJMGRJMTSTW0004,I-GJ-JMGR-ENB-4504,MINI MARKET,22.371385,69.83585611,Gujarat,GUJARAT,,Jamnagar,,,Jamnagar Township-refinary,WIFI-ACCESS POINT,CS-1552-E,15N,CISCO,CS-1552-E,
INSTALLED,15N,INGJJMGRJMTSTW0001,04/08/2016::17||27,R-Mall,INDIA,361142,Wi-Fi:AP::1677795,,,,INGJJMGRJMTSTW0001WIF15N001,EQP1677795,STR4897,INGJJMGRJMTSTW0001,I-GJ-JMGR-ENB-4501,R-Mall,22.36767694,69.842875,Gujarat,GUJARAT,,Jamnagar,,,Jamnagar Township-Refinery,WIFI-ACCESS POINT,CS-1552-E,15N,CISCO,CS-1552-E,
INSTALLED,15N,INGJJMGRJMTSTW0002,04/08/2016::17||27,Central Park,INDIA,361142,Wi-Fi:AP::1677801,,,,INGJJMGRJMTSTW0002WIF15N001,EQP1677801,STR4898,INGJJMGRJMTSTW0002,I-GJ-JMGR-ENB-4502,Central Park,22.368325,69.83851194,Gujarat,GUJARAT,,Jamnagar,,,Jamnagar Township-refinary,WIFI-ACCESS POINT,CS-1552-E,15N,CISCO,CS-1552-E,
COMMISSIONED,15N,INGJJMGRJMTSTW0006,26/09/2016::11||51,"Sector-20 Reliance Greens, Jamnagar, Gujrat",INDIA,361142,Wi-Fi:AP::1677799,,20:3a:07:98:36:fc,,INGJJMGRJMTSTW0006WIF15N001,EQP1677799,STR5089,INGJJMGRJMTSTW0006,I-GJ-JMGR-ENB-4506,Sector-20,22.378055,69.84133694,Gujarat,GUJARAT,,Jamnagar,,,Jamnagar Township-Refinary,WIFI-ACCESS POINT,CS-1552-E,15N,CISCO,CS-1552-E,
INSTALLED,15N,INGJJMGRJMTSTW0007,04/08/2016::17||27,Sector-21,INDIA,361140,Wi-Fi:AP::1677796,,,,INGJJMGRJMTSTW0007WIF15N001,EQP1677796,STR5090,INGJJMGRJMTSTW0007,I-GJ-JMGR-ENB-4507,Sector-21,22.3779,69.83418,Gujarat,GUJARAT,,Jamnagar,,,Jamnagar Township-refinary,WIFI-ACCESS POINT,CS-1552-E,15N,CISCO,CS-1552-E,
PLANNED,15N,INMUNVMBRCPGTW0004,17/08/2016::13||49,"Gate A, RCP Thane-Belapur Road, Ghansoli, Navi Mumbai-400701",INDIA,400701,Wi-Fi:AP::2228803,,,,INMUNVMBRCPGTW0004WIF15N001,EQP2228803,STR5873,INMUNVMBRCPGTW0004,I-MU-MUMB-ENB-4501,1A Tower,19.12623806,73.00512694,Mumbai,MUMBAI,,Navi Mumbai,,,Ghansoli,WIFI-ACCESS POINT,CS-1552-E,15N,CISCO,CS-1552-E,
PLANNED,15N,INMUNVMBRCPGTW0005,17/08/2016::13||49,"RCP Center Tower, Reliance Corporate Park,Thane-Belapur Road, Ghansoli, Navi Mumbai-400703",INDIA,400701,Wi-Fi:AP::2228804,,,,INMUNVMBRCPGTW0005WIF15N001,EQP2228804,STR5985,INMUNVMBRCPGTW0005,I-MU-MUMB-ENB-4502,12B Tower,19.12411389,73.00852889,Mumbai,MUMBAI,,Navi Mumbai,,,Ghansoli,WIFI-ACCESS POINT,CS-1552-E,15N,CISCO,CS-1552-E,
PLANNED,15N,INMUNVMBRCPGTW0003,02/08/2016::15||55,"Pump House, Reliance Corporate Park,Thane-Belapur Road, Ghansoli, Navi Mumbai-400701",INDIA,400701,Wi-Fi:AP::2228806,,,,INMUNVMBRCPGTW0003WIF15N001,EQP2228806,STR5986,INMUNVMBRCPGTW0003,I-MU-MUMB-ENB-4504,Pump House Tower,19.12677,73.01009306,Mumbai,MUMBAI,,Navi Mumbai,,,Ghansoli,WIFI-ACCESS POINT,CS-1552-E,15N,CISCO,CS-1552-E,
